name,qid,measure,value,split
BM25_DLM,38,recip_rank,0.5,train
BM25_DLM,38,nDCG@10,0.47011064750539827,train
BM25_DLM,38,AP(rel=3)@10,0.1111111111111111,train
BM25_DLM,39,recip_rank,1.0,test
BM25_DLM,39,nDCG@10,0.6270918663565136,test
BM25_DLM,39,AP(rel=3)@10,0.14357142857142854,test
BM25_DLM,4,recip_rank,1.0,train
BM25_DLM,4,nDCG@10,0.9001774578400403,train
BM25_DLM,4,AP(rel=3)@10,0.20408163265306123,train
BM25_DLM,40,recip_rank,0.5,train
BM25_DLM,40,nDCG@10,0.433559410351633,train
BM25_DLM,40,AP(rel=3)@10,0.13405797101449274,train
BM25_DLM,41,recip_rank,0.5,train
BM25_DLM,41,nDCG@10,0.16217582568381622,train
BM25_DLM,41,AP(rel=3)@10,0.036000000000000004,train
BM25_DLM,42,recip_rank,0.5,train
BM25_DLM,42,nDCG@10,0.15888185392507093,train
BM25_DLM,42,AP(rel=3)@10,0.013095238095238096,train
BM25_DLM,43,recip_rank,1.0,test
BM25_DLM,43,nDCG@10,0.7966136602474785,test
BM25_DLM,43,AP(rel=3)@10,0.6416666666666666,test
BM25_DLM,44,recip_rank,1.0,train
BM25_DLM,44,nDCG@10,0.7523594644830691,train
BM25_DLM,44,AP(rel=3)@10,0.628747795414462,train
BM25_DLM,45,recip_rank,1.0,train
BM25_DLM,45,nDCG@10,0.34209533317691454,train
BM25_DLM,45,AP(rel=3)@10,0.034761904761904765,train
BM25_DLM,46,recip_rank,1.0,train
BM25_DLM,46,nDCG@10,0.8045536481694022,train
BM25_DLM,46,AP(rel=3)@10,0.1326388888888889,train
BM25_DLM,47,recip_rank,1.0,validation
BM25_DLM,47,nDCG@10,0.3131726037901188,validation
BM25_DLM,47,AP(rel=3)@10,0.09259259259259259,validation
BM25_DLM,5,recip_rank,1.0,train
BM25_DLM,5,nDCG@10,0.9595033535854987,train
BM25_DLM,5,AP(rel=3)@10,0.1724137931034483,train
BM25_DLM,6,recip_rank,1.0,train
BM25_DLM,6,nDCG@10,0.6054994890793287,train
BM25_DLM,6,AP(rel=3)@10,0.11003861003861003,train
BM25_DLM,7,recip_rank,1.0,train
BM25_DLM,7,nDCG@10,0.7226868077778316,train
BM25_DLM,7,AP(rel=3)@10,0.1812372812372812,train
BM25_DLM,8,recip_rank,1.0,test
BM25_DLM,8,nDCG@10,0.8109475254170251,test
BM25_DLM,8,AP(rel=3)@10,0.1613135730482669,test
BM25_DLM,9,recip_rank,1.0,train
BM25_DLM,9,nDCG@10,0.9057927690074944,train
BM25_DLM,9,AP(rel=3)@10,0.21739130434782608,train
DLM,1,recip_rank,1.0,train
DLM,1,nDCG@10,0.537400153370596,train
DLM,1,AP(rel=3)@10,0.08055555555555555,train
DLM,10,recip_rank,1.0,train
DLM,10,nDCG@10,0.7118113100863843,train
DLM,10,AP(rel=3)@10,0.14634146341463414,train
DLM,11,recip_rank,1.0,validation
DLM,11,nDCG@10,0.3385035807473872,validation
DLM,11,AP(rel=3)@10,0.05092592592592593,validation
DLM,12,recip_rank,1.0,train
DLM,12,nDCG@10,0.8994989888224066,train
DLM,12,AP(rel=3)@10,0.16044238683127574,train
DLM,13,recip_rank,0.3333333333333333,train
DLM,13,nDCG@10,0.16903821397947655,train
DLM,13,AP(rel=3)@10,0.03703703703703704,train
DLM,14,recip_rank,0.3333333333333333,train
DLM,14,nDCG@10,0.272090043573974,train
